#,order_date,order_status,total_orders,total_revenue
103,2026-05-25,cancelled,1,2.58
104,2026-05-25,completed,10,14.66
105,2026-05-24,cancelled,1,1.8
106,2026-05-24,completed,10,20.85
107,2026-05-23,cancelled,1,1.55
108,2026-05-23,completed,6,14.325
109,2026-05-22,cancelled,1,1.3
110,2026-05-22,completed,9,19.845
111,2026-05-21,completed,11,26.985
112,2026-05-20,completed,10,20.08
113,2026-05-19,cancelled,1,2.83
114,2026-05-19,completed,8,19.395
115,2026-05-18,cancelled,1,3.48
116,2026-05-18,completed,10,24.43
117,2026-05-17,completed,11,32.005
118,2026-05-16,completed,18,33.605
119,2026-05-15,completed,9,21.3
120,2026-05-14,completed,10,24.74
121,2026-05-13,completed,8,17.745
122,2026-05-12,cancelled,1,5.98
123,2026-05-12,completed,6,13.225
124,2026-05-11,completed,12,24.05
125,2026-05-10,cancelled,3,7.46
126,2026-05-10,completed,59,141.3
127,2026-05-09,completed,29,69.23
128,2026-05-08,cancelled,1,2.53
129,2026-05-08,completed,15,33.55
130,2026-05-07,completed,9,21.15
131,2026-05-06,completed,7,13.835
132,2026-05-05,completed,18,32.965
133,2026-05-04,completed,14,29.095
134,2026-05-03,completed,7,14.475
135,2026-05-02,completed,13,32.235
136,2026-05-01,cancelled,1,0.7
137,2026-05-01,completed,9,25.22
138,2026-04-30,cancelled,2,5.55
139,2026-04-30,completed,13,30.695
140,2026-04-29,cancelled,1,2.75
141,2026-04-29,completed,11,29.115
142,2026-04-28,completed,7,16.03
143,2026-04-27,completed,11,25.55
144,2026-04-26,completed,9,30.845
145,2026-04-25,cancelled,1,2.85
146,2026-04-25,completed,11,22.985
147,2026-04-24,completed,10,26.795
148,2026-04-23,completed,5,14.69
149,2026-04-22,completed,5,11.86
150,2026-04-21,cancelled,1,1.15
151,2026-04-21,completed,7,16.34
152,2026-04-20,completed,3,6.395
153,2026-04-19,completed,7,24.045
154,2026-04-18,completed,5,14.835
155,2026-04-17,cancelled,1,2.08
156,2026-04-17,completed,5,13.33
157,2026-04-16,completed,5,18.085
158,2026-04-15,completed,9,24.33
159,2026-04-14,completed,4,13.89
160,2026-04-13,completed,17,38.07
161,2026-04-12,cancelled,1,2.35
162,2026-04-12,completed,14,30.075
163,2026-04-11,cancelled,1,1.23
164,2026-04-11,completed,11,20.84
165,2026-04-10,completed,21,43.715
166,2026-04-09,cancelled,3,4.43
167,2026-04-09,completed,22,49.185
168,2026-04-08,cancelled,1,2.03
169,2026-04-08,completed,19,49.23
170,2026-04-07,completed,12,24.92
171,2026-04-06,cancelled,1,1.13
172,2026-04-06,completed,12,24.595
173,2026-04-05,cancelled,2,7.29
174,2026-04-05,completed,15,35.085
175,2026-04-04,completed,4,12.31
176,2026-04-03,cancelled,1,3.1
177,2026-04-03,completed,6,10.44
178,2026-04-02,cancelled,1,2.23
179,2026-04-02,completed,4,7.17
180,2026-04-01,completed,8,16.875
181,2026-03-31,completed,2,3.78
182,2026-03-30,cancelled,1,1.45
183,2026-03-30,completed,5,17.28
184,2026-03-29,completed,7,11.92
185,2026-03-28,cancelled,1,1.5
186,2026-03-28,completed,4,6.625
187,2026-03-27,cancelled,1,8.8
188,2026-03-27,completed,7,14
189,2026-03-26,completed,1,2.1
190,2026-03-25,completed,6,10.055
191,2026-03-24,completed,8,11.05
192,2026-03-23,cancelled,2,4.43
193,2026-03-23,completed,10,23.77
194,2026-03-22,completed,7,15.1
195,2026-03-21,completed,1,1.78
196,2026-03-20,completed,5,10.84
197,2026-03-19,completed,11,16.08
198,2026-03-18,completed,3,5.21
199,2026-03-17,completed,7,13.09
200,2026-03-16,completed,6,5.86
201,2026-03-15,completed,3,2.3
202,2026-03-14,completed,2,1.35
203,2026-03-13,completed,11,13.83
204,2026-03-12,completed,2,3.83
205,2026-03-11,completed,2,1.83
206,2026-03-10,completed,6,7.07
207,2026-03-09,completed,7,8.06
208,2026-03-08,cancelled,1,2.2
209,2026-03-08,completed,20,38.64
210,2026-03-07,completed,1,1.12
211,2026-03-06,cancelled,3,3.84
212,2026-03-06,completed,11,15.3
213,2026-03-05,completed,3,3.72
214,2026-03-04,completed,3,3.25
215,2026-03-03,completed,5,3.75
216,2026-03-02,completed,5,6.14
217,2026-03-01,completed,1,3.4
218,2026-02-28,cancelled,1,2.27
219,2026-02-28,completed,4,6.72
220,2026-02-27,completed,2,1.1
221,2026-02-26,completed,6,4.47
222,2026-02-16,cancelled,6,13.71
223,2026-02-16,completed,30,74.37
224,2026-02-15,cancelled,2,2.84
225,2026-02-15,completed,7,14.74
226,2026-02-14,cancelled,2,2.52
227,2026-02-14,completed,22,38.25
228,2026-02-13,completed,3,3.44
229,2026-02-12,cancelled,2,0.64
230,2026-02-12,completed,2,3.24
231,2026-02-10,completed,1,1.87
232,2026-02-09,completed,1,2.15
233,2026-02-04,cancelled,1,1.5
234,2026-02-04,completed,1,1.6
235,2026-01-31,cancelled,1,0.85
236,2026-01-31,completed,5,3.78
237,2026-01-29,cancelled,1,0.32
238,2026-01-22,cancelled,1,2.35
239,2026-01-22,completed,1,3.67
